unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
ORD_EWR43,False,United,ORD,EWR,"6:15 PM on Fri, Oct 10","11:44 AM on Sat, Oct 11",16 hr 29 min,1,518,0.2460643477547049,20.703705626728063,1900-10-10 18:15:00,3435300.0,1900-10-11 11:44:00,3498240.0,989
ORD_EWR44,False,United,ORD,EWR,"6:00 AM on Fri, Oct 10","8:33 PM on Fri, Oct 10",13 hr 33 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 06:00:00,3391200.0,1900-10-10 20:33:00,3443580.0,813
ORD_EWR45,False,United,ORD,EWR,"7:00 AM on Fri, Oct 10","10:59 PM on Fri, Oct 10",14 hr 59 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 07:00:00,3394800.0,1900-10-10 22:59:00,3452340.0,899
ORD_EWR46,False,United,ORD,EWR,"8:50 AM on Fri, Oct 10","8:33 PM on Fri, Oct 10",10 hr 43 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 08:50:00,3401400.0,1900-10-10 20:33:00,3443580.0,643
ORD_EWR47,False,United,ORD,EWR,"10:45 AM on Fri, Oct 10","8:33 PM on Fri, Oct 10",8 hr 48 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 10:45:00,3408300.0,1900-10-10 20:33:00,3443580.0,528
ORD_EWR48,False,United,ORD,EWR,"5:55 PM on Fri, Oct 10","9:50 AM on Sat, Oct 11",14 hr 55 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 17:55:00,3434100.0,1900-10-11 09:50:00,3491400.0,895
ORD_EWR49,False,United,ORD,EWR,"9:20 PM on Fri, Oct 10","9:50 AM on Sat, Oct 11",11 hr 30 min,1,522,0.2460643477547049,20.703705626728063,1900-10-10 21:20:00,3446400.0,1900-10-11 09:50:00,3491400.0,690
ORD_EWR50,False,United,ORD,EWR,"11:05 AM on Fri, Oct 10","11:59 PM on Fri, Oct 10",11 hr 54 min,1,523,0.2460643477547049,20.703705626728063,1900-10-10 11:05:00,3409500.0,1900-10-10 23:59:00,3455940.0,714
ORD_EWR51,False,United,ORD,EWR,"10:40 AM on Fri, Oct 10","1:58 PM on Fri, Oct 10",2 hr 18 min,0,525,0.2460643477547049,20.703705626728063,1900-10-10 10:40:00,3408000.0,1900-10-10 13:58:00,3419880.0,138
ORD_EWR52,False,United,ORD,EWR,"10:40 AM on Fri, Oct 10","11:30 PM on Fri, Oct 10",11 hr 50 min,1,527,0.2460643477547049,20.703705626728063,1900-10-10 10:40:00,3408000.0,1900-10-10 23:30:00,3454200.0,710
ORD_EWR53,False,United,ORD,EWR,"5:58 PM on Fri, Oct 10","8:39 AM on Sat, Oct 11",13 hr 41 min,1,527,0.2460643477547049,20.703705626728063,1900-10-10 17:58:00,3434280.0,1900-10-11 08:39:00,3487140.0,821
ORD_EWR54,False,United,ORD,EWR,"5:58 PM on Fri, Oct 10","10:37 AM on Sat, Oct 11",15 hr 39 min,1,527,0.2460643477547049,20.703705626728063,1900-10-10 17:58:00,3434280.0,1900-10-11 10:37:00,3494220.0,939
ORD_EWR55,False,American,ORD,EWR,"5:22 AM on Fri, Oct 10","12:35 PM on Fri, Oct 10",6 hr 13 min,1,527,0.2460643477547049,20.703705626728063,1900-10-10 05:22:00,3388920.0,1900-10-10 12:35:00,3414900.0,373
ORD_EWR56,False,American,ORD,EWR,"8:15 AM on Fri, Oct 10","4:56 PM on Fri, Oct 10",7 hr 41 min,1,527,0.2460643477547049,20.703705626728063,1900-10-10 08:15:00,3399300.0,1900-10-10 16:56:00,3430560.0,461
ORD_EWR57,False,United,ORD,EWR,"9:16 AM on Fri, Oct 10","10:29 PM on Fri, Oct 10",12 hr 13 min,1,530,0.2460643477547049,20.703705626728063,1900-10-10 09:16:00,3402960.0,1900-10-10 22:29:00,3450540.0,733
ORD_EWR58,False,United,ORD,EWR,"9:00 AM on Fri, Oct 10","11:59 PM on Fri, Oct 10",13 hr 59 min,1,534,0.2460643477547049,20.703705626728063,1900-10-10 09:00:00,3402000.0,1900-10-10 23:59:00,3455940.0,839
ORD_EWR59,False,United,ORD,EWR,"6:00 AM on Fri, Oct 10","8:00 PM on Fri, Oct 10",13 hr,1,535,0.2460643477547049,20.703705626728063,1900-10-10 06:00:00,3391200.0,1900-10-10 20:00:00,3441600.0,780
ORD_EWR60,False,United,ORD,EWR,"7:13 AM on Fri, Oct 10","8:00 PM on Fri, Oct 10",11 hr 47 min,1,535,0.2460643477547049,20.703705626728063,1900-10-10 07:13:00,3395580.0,1900-10-10 20:00:00,3441600.0,707
ORD_EWR61,False,United,ORD,EWR,"7:30 AM on Fri, Oct 10","10:59 PM on Fri, Oct 10",14 hr 29 min,1,566,0.2460643477547049,20.703705626728063,1900-10-10 07:30:00,3396600.0,1900-10-10 22:59:00,3452340.0,869
ORD_EWR62,False,United,ORD,EWR,"11:05 AM on Fri, Oct 10","8:33 PM on Fri, Oct 10",8 hr 28 min,1,575,0.2460643477547049,20.703705626728063,1900-10-10 11:05:00,3409500.0,1900-10-10 20:33:00,3443580.0,508
ORD_EWR64,False,United,ORD,EWR,"9:00 AM on Fri, Oct 10","8:33 PM on Fri, Oct 10",10 hr 33 min,1,585,0.2460643477547049,20.703705626728063,1900-10-10 09:00:00,3402000.0,1900-10-10 20:33:00,3443580.0,633
ORD_EWR65,False,United,ORD,EWR,"11:09 AM on Fri, Oct 10","10:00 PM on Fri, Oct 10",9 hr 51 min,1,588,0.2460643477547049,20.703705626728063,1900-10-10 11:09:00,3409740.0,1900-10-10 22:00:00,3448800.0,591
ORD_EWR66,False,United,ORD,EWR,"9:20 PM on Fri, Oct 10","11:17 AM on Sat, Oct 11",12 hr 57 min,1,597,0.2460643477547049,20.703705626728063,1900-10-10 21:20:00,3446400.0,1900-10-11 11:17:00,3496620.0,777
ORD_EWR67,False,United,ORD,EWR,"6:15 PM on Fri, Oct 10","9:35 AM on Sat, Oct 11",14 hr 20 min,1,607,0.2460643477547049,20.703705626728063,1900-10-10 18:15:00,3435300.0,1900-10-11 09:35:00,3490500.0,860
