,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max
3630,1,0.0,1.0,2.0,43.0,16.0,312.0,479.0,894.0,3344.0,761.0,637.0,15.468623853211009
3702,1,0.0,2.0,1.0,41.0,29.0,248.0,394.0,1009.0,3502.0,761.0,585.0,15.304036697247708
3709,0,0.0,3.0,4.0,54.0,17.0,325.0,526.0,987.0,3688.0,1253.0,747.0,17.01204892966361
3739,1,0.0,2.0,2.0,44.0,29.0,247.0,387.0,1003.0,3551.0,746.0,570.0,15.260061162079513
3767,0,0.0,3.0,2.0,51.0,29.0,283.0,448.0,1001.0,3593.0,1215.0,849.0,16.942140672782873
3862,0,0.0,2.0,3.0,55.0,17.0,300.0,331.0,1023.0,3649.0,1150.0,767.0,16.548073394495415
3989,0,0.0,0.0,0.0,42.0,24.0,214.0,456.0,1030.0,3172.0,1282.0,798.0,17.478960244648317
4244,0,0.0,1.0,4.0,40.0,16.0,300.0,439.0,947.0,3171.0,1258.0,743.0,16.910948012232417
4392,0,0.0,0.0,3.0,36.0,18.0,217.0,491.0,999.0,2842.0,1104.0,812.0,17.062996941896024
4428,0,0.0,1.0,3.0,26.0,29.0,310.0,444.0,1031.0,2809.0,1149.0,835.0,16.808256880733946
4479,1,0.0,1.0,3.0,42.0,18.0,309.0,483.0,914.0,3314.0,779.0,631.0,15.503241590214069
4484,0,0.0,1.0,4.0,41.0,15.0,288.0,412.0,905.0,3101.0,1255.0,761.0,16.911743119266056
4555,0,0.0,2.0,2.0,35.0,21.0,303.0,375.0,996.0,3604.0,1384.0,795.0,16.53651376146789
4594,0,0.0,1.0,3.0,41.0,21.0,305.0,477.0,994.0,3066.0,1265.0,756.0,16.889235474006117
4646,0,0.0,0.0,2.0,26.0,17.0,327.0,493.0,666.0,3517.0,1434.0,730.0,17.116697247706423
4719,1,0.0,2.0,3.0,30.0,14.0,227.0,368.0,851.0,2924.0,1051.0,776.0,17.037859327217124
4755,0,0.0,4.0,3.0,46.0,15.0,336.0,398.0,924.0,3651.0,948.0,661.0,16.125626911314985
4758,0,0.0,2.0,1.0,43.0,29.0,275.0,411.0,1020.0,3197.0,1213.0,812.0,16.99663608562691
4771,1,0.0,3.0,2.0,22.0,16.0,239.0,406.0,702.0,3146.0,984.0,845.0,16.790642201834864
4796,1,0.0,2.0,2.0,41.0,25.0,299.0,309.0,844.0,3410.0,1021.0,688.0,16.11021406727829
4855,1,0.0,3.0,3.0,48.0,14.0,307.0,511.0,778.0,3553.0,1008.0,722.0,16.128073394495413
4874,1,0.0,2.0,0.0,39.0,22.0,240.0,520.0,793.0,3152.0,982.0,730.0,16.19724770642202
4934,0,0.0,0.0,4.0,38.0,27.0,266.0,533.0,975.0,3310.0,1261.0,771.0,16.666850152905198
