unique_id	is_best	rank	name	origin	destination	departure_time	arrival_time	duration	stops	price	dis_from_origin	dis_from_dest	departure_dt	departure_seconds	arrival_dt	arrival_seconds	duration_min
ORD_JFK1	True	5.0	FRONTIER AIRLINES	ORD	JFK	11:44 AM on Thu, Dec 11	12:59 AM on Fri, Dec 12	12.0 hr 15.0 min	1.0	91.63	0.0	0.0	1900-12-11 11:44:00	1251840	1900-12-12 00:59:00	1299540	735.0
ORD_JFK2	True	1.0	JETBLUE AIRWAYS	ORD	JFK	07:00 AM on Thu, Dec 11	10:17 AM on Thu, Dec 11	2.0 hr 17.0 min	0.0	163.44	0.0	0.0	1900-12-11 07:00:00	1234800	1900-12-11 10:17:00	1246620	137.0
ORD_JFK3	True	2.0	JETBLUE AIRWAYS	ORD	JFK	11:25 AM on Thu, Dec 11	04:57 PM on Thu, Dec 11	4.0 hr 32.0 min	1.0	187.18	0.0	0.0	1900-12-11 11:25:00	1250700	1900-12-11 16:57:00	1270620	272.0
ORD_JFK4	False	8.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	02:57 PM on Fri, Dec 12	17.0 hr 19.0 min	1.0	236.97	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 14:57:00	1349820	1039.0
ORD_JFK5	False	8.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	09:52 AM on Fri, Dec 12	12.0 hr 14.0 min	1.0	271.93	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 09:52:00	1331520	734.0
ORD_JFK6	False	8.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	12:58 PM on Fri, Dec 12	15.0 hr 20.0 min	1.0	271.93	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 12:58:00	1342680	920.0
ORD_JFK7	False	8.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	04:57 PM on Fri, Dec 12	19.0 hr 19.0 min	1.0	271.93	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 16:57:00	1357020	1159.0
ORD_JFK8	True	3.0	JETBLUE AIRWAYS	ORD	JFK	11:25 AM on Thu, Dec 11	09:14 PM on Thu, Dec 11	8.0 hr 49.0 min	1.0	306.99	0.0	0.0	1900-12-11 11:25:00	1250700	1900-12-11 21:14:00	1286040	529.0
ORD_JFK9	True	4.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	07:00 AM on Fri, Dec 12	9.0 hr 22.0 min	1.0	306.99	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 07:00:00	1321200	562.0
ORD_JFK10	False	8.0	JETBLUE AIRWAYS	ORD	JFK	08:38 PM on Thu, Dec 11	09:14 PM on Fri, Dec 12	23.0 hr 36.0 min	1.0	306.99	0.0	0.0	1900-12-11 20:38:00	1283880	1900-12-12 21:14:00	1372440	1416.0
