unique_id	is_best	rank	name	origin	destination	departure_time	arrival_time	duration	stops	price	dis_from_origin	dis_from_dest	departure_dt	departure_seconds	arrival_dt	arrival_seconds	duration_min
BCN_DUB1	True	2.0	FLY ONE	BCN	DUB	02:50 PM on Fri, Dec 05	10:20 PM on Fri, Dec 05	8.0 hr 30.0 min	1.0	244.8	0.0	0.0	1900-12-05 14:50:00	312600	1900-12-05 22:20:00	339600	510.0
BCN_DUB2	True	3.0	HISKY EUROPE SRL	BCN	DUB	01:20 PM on Fri, Dec 05	08:50 PM on Fri, Dec 05	8.0 hr 30.0 min	1.0	253.2	0.0	0.0	1900-12-05 13:20:00	307200	1900-12-05 20:50:00	334200	510.0
BCN_DUB3	True	4.0	KLM ROYAL DUTCH AIRLINES	BCN	DUB	07:55 PM on Fri, Dec 05	04:20 PM on Sat, Dec 06	21.0 hr 25.0 min	1.0	259.5	0.0	0.0	1900-12-05 19:55:00	330900	1900-12-06 16:20:00	404400	1285.0
BCN_DUB4	True	5.0	TAP PORTUGAL	BCN	DUB	10:55 AM on Fri, Dec 05	11:20 PM on Fri, Dec 05	13.0 hr 25.0 min	1.0	266.3	0.0	0.0	1900-12-05 10:55:00	298500	1900-12-05 23:20:00	343200	805.0
BCN_DUB5	False	43.5	SWISS INTERNATIONAL AIR LINES	BCN	DUB	07:50 PM on Fri, Dec 05	12:35 PM on Sat, Dec 06	17.0 hr 45.0 min	1.0	266.7	0.0	0.0	1900-12-05 19:50:00	330600	1900-12-06 12:35:00	390900	1065.0
BCN_DUB6	False	43.5	TAP PORTUGAL	BCN	DUB	10:55 AM on Fri, Dec 05	04:10 PM on Fri, Dec 05	6.0 hr 15.0 min	1.0	283.3	0.0	0.0	1900-12-05 10:55:00	298500	1900-12-05 16:10:00	317400	375.0
BCN_DUB7	False	43.5	TAP PORTUGAL	BCN	DUB	12:35 PM on Fri, Dec 05	11:20 PM on Fri, Dec 05	11.0 hr 45.0 min	1.0	283.3	0.0	0.0	1900-12-05 12:35:00	304500	1900-12-05 23:20:00	343200	705.0
BCN_DUB8	False	43.5	TAP PORTUGAL	BCN	DUB	09:10 PM on Fri, Dec 05	10:20 AM on Sat, Dec 06	14.0 hr 10.0 min	1.0	283.3	0.0	0.0	1900-12-05 21:10:00	335400	1900-12-06 10:20:00	382800	850.0
BCN_DUB9	False	43.5	TAP PORTUGAL	BCN	DUB	02:35 PM on Fri, Dec 05	10:20 AM on Sat, Dec 06	20.0 hr 45.0 min	1.0	283.3	0.0	0.0	1900-12-05 14:35:00	311700	1900-12-06 10:20:00	382800	1245.0
BCN_DUB10	False	43.5	TAP PORTUGAL	BCN	DUB	02:35 PM on Fri, Dec 05	11:20 PM on Fri, Dec 05	9.0 hr 45.0 min	1.0	283.3	0.0	0.0	1900-12-05 14:35:00	311700	1900-12-05 23:20:00	343200	585.0
BCN_DUB11	False	43.5	TAP PORTUGAL	BCN	DUB	06:45 AM on Fri, Dec 05	11:20 PM on Fri, Dec 05	17.0 hr 35.0 min	1.0	283.3	0.0	0.0	1900-12-05 06:45:00	283500	1900-12-05 23:20:00	343200	1055.0
BCN_DUB12	False	43.5	TAP PORTUGAL	BCN	DUB	09:10 PM on Fri, Dec 05	04:10 PM on Sat, Dec 06	20.0 hr 0.0 min	1.0	283.3	0.0	0.0	1900-12-05 21:10:00	335400	1900-12-06 16:10:00	403800	1200.0
BCN_DUB13	False	43.5	TAP PORTUGAL	BCN	DUB	12:35 PM on Fri, Dec 05	10:20 AM on Sat, Dec 06	22.0 hr 45.0 min	1.0	283.3	0.0	0.0	1900-12-05 12:35:00	304500	1900-12-06 10:20:00	382800	1365.0
BCN_DUB14	False	43.5	VUELING AIRLINES	BCN	DUB	10:50 AM on Fri, Dec 05	12:40 PM on Fri, Dec 05	2.0 hr 50.0 min	0.0	283.4	0.0	0.0	1900-12-05 10:50:00	298200	1900-12-05 12:40:00	304800	170.0
BCN_DUB15	False	43.5	AIR FRANCE	BCN	DUB	08:20 PM on Fri, Dec 05	07:50 AM on Sat, Dec 06	12.0 hr 30.0 min	1.0	287.5	0.0	0.0	1900-12-05 20:20:00	332400	1900-12-06 07:50:00	373800	750.0
BCN_DUB16	False	43.5	TAP PORTUGAL	BCN	DUB	02:35 PM on Fri, Dec 05	04:10 PM on Sat, Dec 06	26.0 hr 35.0 min	1.0	290.5	0.0	0.0	1900-12-05 14:35:00	311700	1900-12-06 16:10:00	403800	1595.0
BCN_DUB17	False	43.5	TAP PORTUGAL	BCN	DUB	09:10 PM on Fri, Dec 05	11:20 PM on Sat, Dec 06	27.0 hr 10.0 min	1.0	290.5	0.0	0.0	1900-12-05 21:10:00	335400	1900-12-06 23:20:00	429600	1630.0
