unique_id	is_best	rank	name	origin	destination	departure_time	arrival_time	duration	stops	price	dis_from_origin	dis_from_dest	departure_dt	departure_seconds	arrival_dt	arrival_seconds	duration_min
JFK_LAX1	False	37.0	JETBLUE AIRWAYS	JFK	LAX	05:00 PM on Wed, Dec 10	08:13 PM on Wed, Dec 10	6.0 hr 13.0 min	0.0	138.49	0.0	0.0	1900-12-10 17:00:00	1270800	1900-12-10 20:13:00	1282380	373.0
JFK_LAX2	True	5.0	JETBLUE AIRWAYS	JFK	LAX	06:00 PM on Wed, Dec 10	09:14 PM on Wed, Dec 10	6.0 hr 14.0 min	0.0	138.49	0.0	0.0	1900-12-10 18:00:00	1274400	1900-12-10 21:14:00	1286040	374.0
JFK_LAX3	False	37.0	JETBLUE AIRWAYS	JFK	LAX	02:00 PM on Wed, Dec 10	05:15 PM on Wed, Dec 10	6.0 hr 15.0 min	0.0	138.49	0.0	0.0	1900-12-10 14:00:00	1260000	1900-12-10 17:15:00	1271700	375.0
JFK_LAX4	False	37.0	JETBLUE AIRWAYS	JFK	LAX	11:00 AM on Wed, Dec 10	02:17 PM on Wed, Dec 10	6.0 hr 17.0 min	0.0	138.49	0.0	0.0	1900-12-10 11:00:00	1249200	1900-12-10 14:17:00	1261020	377.0
JFK_LAX5	False	37.0	JETBLUE AIRWAYS	JFK	LAX	08:12 PM on Wed, Dec 10	11:29 PM on Wed, Dec 10	6.0 hr 17.0 min	0.0	138.49	0.0	0.0	1900-12-10 20:12:00	1282320	1900-12-10 23:29:00	1294140	377.0
JFK_LAX6	False	37.0	JETBLUE AIRWAYS	JFK	LAX	06:00 AM on Wed, Dec 10	09:18 AM on Wed, Dec 10	6.0 hr 18.0 min	0.0	138.49	0.0	0.0	1900-12-10 06:00:00	1231200	1900-12-10 09:18:00	1243080	378.0
JFK_LAX7	False	37.0	JETBLUE AIRWAYS	JFK	LAX	12:30 PM on Wed, Dec 10	03:48 PM on Wed, Dec 10	6.0 hr 18.0 min	0.0	169.53	0.0	0.0	1900-12-10 12:30:00	1254600	1900-12-10 15:48:00	1266480	378.0
JFK_LAX8	False	37.0	JETBLUE AIRWAYS	JFK	LAX	10:00 AM on Wed, Dec 10	01:20 PM on Wed, Dec 10	6.0 hr 20.0 min	0.0	169.53	0.0	0.0	1900-12-10 10:00:00	1245600	1900-12-10 13:20:00	1257600	380.0
JFK_LAX9	False	37.0	JETBLUE AIRWAYS	JFK	LAX	06:59 AM on Wed, Dec 10	10:20 AM on Wed, Dec 10	6.0 hr 21.0 min	0.0	138.49	0.0	0.0	1900-12-10 06:59:00	1234740	1900-12-10 10:20:00	1246800	381.0
JFK_LAX10	False	37.0	JETBLUE AIRWAYS	JFK	LAX	09:15 PM on Wed, Dec 10	12:38 AM on Thu, Dec 11	6.0 hr 23.0 min	0.0	138.49	0.0	0.0	1900-12-10 21:15:00	1286100	1900-12-11 00:38:00	1298280	383.0
JFK_LAX11	False	37.0	JETBLUE AIRWAYS	JFK	LAX	08:25 AM on Wed, Dec 10	11:49 AM on Wed, Dec 10	6.0 hr 24.0 min	0.0	138.49	0.0	0.0	1900-12-10 08:25:00	1239900	1900-12-10 11:49:00	1252140	384.0
JFK_LAX12	False	37.0	FRONTIER AIRLINES	JFK	LAX	11:00 AM on Wed, Dec 10	02:25 PM on Wed, Dec 10	6.0 hr 25.0 min	0.0	55.95	0.0	0.0	1900-12-10 11:00:00	1249200	1900-12-10 14:25:00	1261500	385.0
JFK_LAX13	False	37.0	JETBLUE AIRWAYS	JFK	LAX	06:30 AM on Wed, Dec 10	12:30 PM on Wed, Dec 10	9.0 hr 0.0 min	1.0	201.36	0.0	0.0	1900-12-10 06:30:00	1233000	1900-12-10 12:30:00	1254600	540.0
JFK_LAX14	False	37.0	FRONTIER AIRLINES	JFK	LAX	06:15 AM on Wed, Dec 10	12:47 PM on Wed, Dec 10	9.0 hr 32.0 min	1.0	96.04	0.0	0.0	1900-12-10 06:15:00	1232100	1900-12-10 12:47:00	1255620	572.0
JFK_LAX15	False	37.0	ALASKA AIRLINES	JFK	LAX	05:23 PM on Wed, Dec 10	11:59 PM on Wed, Dec 10	9.0 hr 36.0 min	1.0	175.03	0.0	0.0	1900-12-10 17:23:00	1272180	1900-12-10 23:59:00	1295940	576.0
JFK_LAX16	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	05:23 PM on Wed, Dec 10	11:59 PM on Wed, Dec 10	9.0 hr 36.0 min	1.0	175.03	0.0	0.0	1900-12-10 17:23:00	1272180	1900-12-10 23:59:00	1295940	576.0
JFK_ONT17	False	37.0	ALASKA AIRLINES	JFK	ONT	11:30 AM on Wed, Dec 10	06:33 PM on Wed, Dec 10	10.0 hr 3.0 min	1.0	218.03	0.0	0.0	1900-12-10 11:30:00	1251000	1900-12-10 18:33:00	1276380	603.0
JFK_LAX18	False	37.0	ALASKA AIRLINES	JFK	LAX	09:30 AM on Wed, Dec 10	04:44 PM on Wed, Dec 10	10.0 hr 14.0 min	1.0	135.03	0.0	0.0	1900-12-10 09:30:00	1243800	1900-12-10 16:44:00	1269840	614.0
JFK_LAX19	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	09:30 AM on Wed, Dec 10	04:44 PM on Wed, Dec 10	10.0 hr 14.0 min	1.0	135.03	0.0	0.0	1900-12-10 09:30:00	1243800	1900-12-10 16:44:00	1269840	614.0
JFK_LAX20	False	37.0	ALASKA AIRLINES	JFK	LAX	01:00 PM on Wed, Dec 10	08:15 PM on Wed, Dec 10	10.0 hr 15.0 min	1.0	135.03	0.0	0.0	1900-12-10 13:00:00	1256400	1900-12-10 20:15:00	1282500	615.0
JFK_LAX21	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	01:00 PM on Wed, Dec 10	08:15 PM on Wed, Dec 10	10.0 hr 15.0 min	1.0	135.03	0.0	0.0	1900-12-10 13:00:00	1256400	1900-12-10 20:15:00	1282500	615.0
JFK_LAX22	False	37.0	JETBLUE AIRWAYS	JFK	LAX	03:29 PM on Wed, Dec 10	11:05 PM on Wed, Dec 10	10.0 hr 36.0 min	1.0	221.36	0.0	0.0	1900-12-10 15:29:00	1265340	1900-12-10 23:05:00	1292700	636.0
JFK_LAX23	False	37.0	JETBLUE AIRWAYS	JFK	LAX	08:55 AM on Wed, Dec 10	04:45 PM on Wed, Dec 10	10.0 hr 50.0 min	1.0	281.37	0.0	0.0	1900-12-10 08:55:00	1241700	1900-12-10 16:45:00	1269900	650.0
JFK_LAX24	False	37.0	JETBLUE AIRWAYS	JFK	LAX	09:35 AM on Wed, Dec 10	05:31 PM on Wed, Dec 10	10.0 hr 56.0 min	1.0	201.36	0.0	0.0	1900-12-10 09:35:00	1244100	1900-12-10 17:31:00	1272660	656.0
JFK_LAX25	False	37.0	ALASKA AIRLINES	JFK	LAX	01:00 PM on Wed, Dec 10	09:06 PM on Wed, Dec 10	11.0 hr 6.0 min	1.0	188.03	0.0	0.0	1900-12-10 13:00:00	1256400	1900-12-10 21:06:00	1285560	666.0
JFK_LAX26	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	01:00 PM on Wed, Dec 10	09:06 PM on Wed, Dec 10	11.0 hr 6.0 min	1.0	188.03	0.0	0.0	1900-12-10 13:00:00	1256400	1900-12-10 21:06:00	1285560	666.0
JFK_LAX27	False	37.0	ALASKA AIRLINES	JFK	LAX	11:30 AM on Wed, Dec 10	07:42 PM on Wed, Dec 10	11.0 hr 12.0 min	1.0	125.02	0.0	0.0	1900-12-10 11:30:00	1251000	1900-12-10 19:42:00	1280520	672.0
JFK_LAX28	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	11:30 AM on Wed, Dec 10	07:42 PM on Wed, Dec 10	11.0 hr 12.0 min	1.0	125.02	0.0	0.0	1900-12-10 11:30:00	1251000	1900-12-10 19:42:00	1280520	672.0
JFK_LAX29	False	37.0	ALASKA AIRLINES	JFK	LAX	07:00 AM on Wed, Dec 10	03:20 PM on Wed, Dec 10	11.0 hr 20.0 min	1.0	125.02	0.0	0.0	1900-12-10 07:00:00	1234800	1900-12-10 15:20:00	1264800	680.0
JFK_LAX30	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	07:00 AM on Wed, Dec 10	03:20 PM on Wed, Dec 10	11.0 hr 20.0 min	1.0	125.02	0.0	0.0	1900-12-10 07:00:00	1234800	1900-12-10 15:20:00	1264800	680.0
JFK_LAX31	False	37.0	JETBLUE AIRWAYS	JFK	LAX	03:30 PM on Wed, Dec 10	11:59 PM on Wed, Dec 10	11.0 hr 29.0 min	1.0	158.36	0.0	0.0	1900-12-10 15:30:00	1265400	1900-12-10 23:59:00	1295940	689.0
JFK_LAX32	False	37.0	JETBLUE AIRWAYS	JFK	LAX	06:00 AM on Wed, Dec 10	02:57 PM on Wed, Dec 10	11.0 hr 57.0 min	1.0	766.34	0.0	0.0	1900-12-10 06:00:00	1231200	1900-12-10 14:57:00	1263420	717.0
JFK_LAX33	False	37.0	ALASKA AIRLINES	JFK	LAX	11:30 AM on Wed, Dec 10	08:46 PM on Wed, Dec 10	12.0 hr 16.0 min	1.0	175.03	0.0	0.0	1900-12-10 11:30:00	1251000	1900-12-10 20:46:00	1284360	736.0
JFK_LAX34	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	11:30 AM on Wed, Dec 10	08:46 PM on Wed, Dec 10	12.0 hr 16.0 min	1.0	175.03	0.0	0.0	1900-12-10 11:30:00	1251000	1900-12-10 20:46:00	1284360	736.0
JFK_LAX35	False	37.0	ALASKA AIRLINES	JFK	LAX	09:30 AM on Wed, Dec 10	06:53 PM on Wed, Dec 10	12.0 hr 23.0 min	1.0	206.62	0.0	0.0	1900-12-10 09:30:00	1243800	1900-12-10 18:53:00	1277580	743.0
JFK_LAX36	False	37.0	HAWAIIAN AIRLINES	JFK	LAX	09:30 AM on Wed, Dec 10	06:53 PM on Wed, Dec 10	12.0 hr 23.0 min	1.0	206.62	0.0	0.0	1900-12-10 09:30:00	1243800	1900-12-10 18:53:00	1277580	743.0
JFK_LAX37	False	37.0	JETBLUE AIRWAYS	JFK	LAX	01:59 PM on Wed, Dec 10	11:59 PM on Wed, Dec 10	13.0 hr 0.0 min	1.0	163.96	0.0	0.0	1900-12-10 13:59:00	1259940	1900-12-10 23:59:00	1295940	780.0
JFK_LAX38	False	37.0	JETBLUE AIRWAYS	JFK	LAX	08:55 AM on Wed, Dec 10	06:55 PM on Wed, Dec 10	13.0 hr 0.0 min	1.0	286.97	0.0	0.0	1900-12-10 08:55:00	1241700	1900-12-10 18:55:00	1277700	780.0
JFK_LAX39	False	37.0	JETBLUE AIRWAYS	JFK	LAX	12:30 PM on Wed, Dec 10	11:05 PM on Wed, Dec 10	13.0 hr 35.0 min	1.0	226.96	0.0	0.0	1900-12-10 12:30:00	1254600	1900-12-10 23:05:00	1292700	815.0
JFK_LAX40	False	37.0	ALASKA AIRLINES	JFK	LAX	07:00 AM on Wed, Dec 10	05:40 PM on Wed, Dec 10	13.0 hr 40.0 min	1.0	456.58	0.0	0.0	1900-12-10 07:00:00	1234800	1900-12-10 17:40:00	1273200	820.0
